street,number_odd_from,number_odd_to,number_even_from,number_even_to,district_nr,district_name,zip,vote_district_id,local_election_district_id,landtag_election_district_id,bundestag_election_district_id
Brühler Platz,1,17,2,22,204,Raderthal,50968,20404,12,13,94
Brühler Str.,1,121,2,136,203,Raderberg,50968,20301,13,13,94
Brühler Str.,183,325,150,300,204,Raderthal,50968,20402,12,13,94
Bruktererstr.,1,5,2,6,105,Deutz,50679,10509,06,18,93
Brüngesrath,,,,,611,Roggendorf/Thenhoven,50769,61102,29,16,95
Brunhildenweg,1,31,2,12,710,Wahnheide,51147,71006,10,17,93
Brunhildplatz,1,19,2,20,502,Mauenheim,50739,50201,31,16,95
Brunhildstr.,5,5,2,4,208,Rodenkirchen,50996,20808,14,13,94
Brunkensteinstr.,1,39,2,12,302,Sülz,50935,30234,17,14,94
Brunnenstr.,1,5,2,8,205,Zollstock,50969,20504,13,13,94
Brunostr.,1,13,2,24,101,Altstadt/Süd,50678,10111,01,13,94
Brunostr.,17,27,24a,28,102,Neustadt/Süd,50677,10214,02,13,94
Brunsbütteler Str.,1,29,2,28,506,Longerich,50737,50604,30,16,95
Brüsseler Platz,1,3,10a,26,104,Neustadt/Nord,50674,10403,04,18,93
Brüsseler Platz,,,2,10,104,Neustadt/Nord,50672,10403,04,18,93
Brüsseler Platz,5,21,,,104,Neustadt/Nord,50674,10404,04,18,93
Brüsseler Str.,1,11,2,10,102,Neustadt/Süd,50674,10232,03,13,94
Brüsseler Str.,13,33,12,32,102,Neustadt/Süd,50674,10234,03,13,94
Brüsseler Str.,35,45,34,44a,102,Neustadt/Süd,50674,10235,03,13,94
Brüsseler Str.,47,55,46,58,104,Neustadt/Nord,50674,10404,04,18,93
Brüsseler Str.,57,71,72,88,104,Neustadt/Nord,50672,10402,04,18,93
Brüsseler Str.,,,60,70,104,Neustadt/Nord,50674,10403,04,18,93
Brüsseler Str.,73,79,90,100a,104,Neustadt/Nord,50672,10408,04,18,93
Brüsseler Str.,83,97,102,104,104,Neustadt/Nord,50672,10405,04,18,93
Brüsseler Str. (Porz),1,169,2,86,716,Finkenberg,51149,71601,08,17,93
Bucheckernweg,1,11,2,66,807,Brück,51109,80702,41,17,93
Buchenkampsweg,19,21a,20,22,807,Brück,51109,80702,41,17,93
Buchenpfad,1,15,2,14,604,Heimersdorf,50767,60405,26,16,95
Buchenweg (Auweiler),3,11,2,16,607,Esch/Auweiler,50765,60701,28,16,95
Buchenweg (Grengel),1,27,2,28,709,Grengel,51147,70903,09,17,93
Buchenweg (Widdersdorf),17,87,2,28,309,Widdersdorf,50859,30904,21,14,94
Buchfinkenstr.,1,79,2,104,211,Godorf,50997,21102,15,13,94
Buchfinkenweg,1,43,4,40,404,Vogelsang,50829,40401,25,15,95
Buchforststr.,1,29,2,2,802,Kalk,51103,80205,42,18,93
Buchforststr.,31,71,14,100,802,Kalk,51103,80202,42,18,93
Buchforststr.,101,117,102,132,802,Kalk,51103,80201,42,18,93
Buchheimer Pfädchen,1,3,,,805,Ostheim,51107,80505,45,18,93
Buchheimer Ring,1,87,2,6,903,Buchheim,51067,90302,35,19,101
Buchheimer Str.,1,61,2,64,901,Mülheim,51063,90104,36,19,101
Buchheimer Weg,1,33,2,50,805,Ostheim,51107,80501,45,18,93
Buchholzstr.,1d,21,2,58,901,Mülheim,51061,90121,36,19,101
Büchnerstr.,,,2,58,405,Bocklemünd/Mengenich,50829,40507,25,15,95
Buchsbaumweg,,,2,10,604,Heimersdorf,50767,60404,26,16,95
Bückebergstr.,1,19,2,10,807,Brück,51109,80708,41,17,93
Büdericher Str.,1,11,2,2,501,Nippes,50733,50107,32,15,95
Büdiger Weg,1,27,2,26,605,Lindweiler,50767,60501,28,16,95
Bugenhagenstr.,1,53,2,2,906,Höhenhaus,51061,90604,38,19,101
Bülowstr.,1,21,,,501,Nippes,50733,50117,32,15,95
Bülowstr.,,,2,38,501,Nippes,50733,50118,32,15,95
Bülowstr.,23,39,40,62,501,Nippes,50733,50116,32,15,95
Bülowstr.,49,63,68,90,501,Nippes,50733,50115,32,15,95
Bunsenstr.,1,19,2,18,902,Buchforst,51065,90202,35,19,101
Bunsenstr. (Eil),1,15a,,,705,Eil,51145,70502,08,17,93
Bunsenstr. (Godorf),1,43,,,211,Godorf,50997,21101,15,13,94
Bunzlauer Str.,,,2,6,907,Dünnwald,51069,90703,38,19,101
Bunzlauer Str. (Weiden),1,25,2,6,307,Weiden,50858,30712,21,14,94
Burbacher Str.,1,17,2,32,205,Zollstock,50969,20515,13,13,94
Burg Röttgen,,,0,,808,Rath/Heumar,51107,80810,41,17,93
Burgallee,1,1,2,70,711,Wahn,51147,71103,10,17,93
Burgenlandstr.,3,9,2,8,801,Humboldt/Gremberg,51105,80102,42,18,93
Burgenlandweg,1,9,2,6,306,Junkersdorf,50858,30605,20,14,94
Burger Platz,,,2,8,906,Höhenhaus,51061,90603,38,19,101
Bürgershof,1,17a,2,10,603,Seeberg,50769,60301,26,16,95
Bürgerstr.,,,2,16,103,Altstadt/Nord,50667,10304,04,18,93
Burggraben,1,5,2,36,711,Wahn,51147,71103,10,17,93
Burghöfchen,,,,,103,Altstadt/Nord,50667,10304,04,18,93
