WahlbezirksNr	WahlbezirksName	WahlraumZeile1	WahlraumZeile2	WahlraumZeile3	Wahlraum barrierefrei	WahlbehˆrdeName	WahlbehˆrdeZeile1	WahlbehˆrdeZeile2	WahlbehˆrdeZeile3	Ortschaftsname	Wahleinteilung
3101	Brandenburger Vorstadt - Luisenplatz			Voltaire-Gesamtschule (9)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3105	Brandenburger Vorstadt - Park Sanssouci			Kindertagesst‰tte Baumschule			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3107	Brandenburger Vorstadt - Schillerplatz			AWO Schillertreff			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3106	Brandenburger Vorstadt - Tsch‰pe-Platz			Gerhart-Hauptmann-Grundschule (12)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
7201	Drewitz - Alt Drewitz/Am Silbergraben			Schiller Grundschule im Sternfeld		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
7204	Drewitz - Conrad-Veidt-Str.			Schiller Gymnasium		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
7206	Drewitz - Gerlachstr/E-v-Winterstein-Str			Stadtteilschule Drewitz			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
7203	Drewitz - Paul-Wegener-Str./Priesterweg			Schiller Gymnasium		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
7202	Drewitz - Sterncenter/Erich-Pommer-Str.			KATHARINENHOF WOHNPARK AM STERN		H.-Albers-Str. 3,	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
7205	Drewitz - Willy-A.-Kleinau-Weg			Stadtteilschule Drewitz			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
